CustomerID,Age,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Support_Calls,Contract_Type,Payment_Method,Has_Additional_Services,Churn
1,56,38,112.48,61.87,8,Two Year,Debit Card,1,0
2,69,28,174.51,310.65,6,Two Year,Debit Card,1,0
3,46,48,35.11,310.02,1,Month-to-Month,UPI,1,0
4,32,38,123.14,434.93,7,One Year,PayPal,0,0
5,60,31,95.38,286.54,1,Month-to-Month,Credit Card,0,1
6,25,14,90.24,217.29,6,Month-to-Month,PayPal,1,0
7,38,53,57.99,487.2,4,Month-to-Month,Credit Card,1,0
8,56,33,80.73,114.79,9,Two Year,Debit Card,0,0
9,36,57,30.55,131.73,5,One Year,UPI,1,0
10,40,9,57.8,42.84,3,Two Year,UPI,1,0
11,28,57,61.67,487.67,4,One Year,UPI,1,1
12,28,27,146.93,353.33,4,Month-to-Month,PayPal,0,0
13,41,24,19.22,6.54,6,Two Year,UPI,1,0
14,70,13,133.73,352.3,3,One Year,UPI,0,1
15,53,26,52.07,202.37,4,One Year,PayPal,0,0
16,57,29,25.55,483.79,3,Month-to-Month,PayPal,1,1
17,41,51,67.15,139.06,3,Two Year,UPI,0,1
18,20,49,52.65,355.29,7,Two Year,UPI,0,0
19,39,43,114.89,313.9,4,Two Year,Debit Card,1,0
20,70,28,77.9,6.52,8,Two Year,UPI,0,1
21,19,28,193.54,442.67,4,Two Year,PayPal,0,1
22,41,8,193.07,70.24,7,Two Year,Credit Card,1,0
23,61,23,94.31,331.96,2,Two Year,UPI,0,1
24,47,29,161.07,387.89,6,Month-to-Month,Credit Card,1,1
25,55,5,12.52,315.65,0,One Year,UPI,0,0
26,19,42,114.08,49.01,4,Month-to-Month,UPI,1,0
27,38,7,151.23,487.6,1,One Year,Debit Card,1,0
28,50,42,51.22,118.79,7,One Year,UPI,0,0
29,29,36,21.62,314.12,5,One Year,PayPal,0,0
30,39,41,39.62,398.69,4,Two Year,UPI,1,0
31,61,27,93.95,469.65,2,Two Year,Credit Card,1,0
32,42,58,106.21,302.2,0,One Year,UPI,1,0
33,66,46,82.37,129.9,9,One Year,PayPal,1,1
34,44,2,93.6,418.4,9,Two Year,UPI,0,0
35,59,25,99.34,82.03,9,Two Year,Credit Card,0,0
36,45,9,156.19,11.63,9,One Year,UPI,0,0
37,33,53,30.0,454.12,7,One Year,Debit Card,0,1
38,32,27,156.1,287.91,4,Month-to-Month,UPI,1,0
39,64,1,140.84,35.29,8,Two Year,Credit Card,0,0
40,68,23,150.92,290.07,6,Two Year,Credit Card,1,0
41,61,10,149.55,72.93,0,One Year,Credit Card,0,0
42,72,42,99.41,16.18,0,Month-to-Month,Debit Card,0,1
43,69,52,50.17,58.7,6,Two Year,UPI,0,0
44,74,25,111.96,387.67,6,Month-to-Month,Credit Card,1,1
45,20,54,192.02,377.95,8,Month-to-Month,Debit Card,0,0
